"trees","max-depth","test_diff"
50,9,0.08967554691392532
50,10,0.08456965555344795
50,11,0.08021566476479068
50,12,0.07687542464738871
50,13,0.0741142555306912
50,14,0.07237803472338213
50,15,0.07156737509232956
50,16,0.07057438203701462
50,17,0.07038158626746643
50,18,0.07032659072965032
50,19,0.0703084714846024
50,20,0.0700504726355464
50,21,0.07001502226191465
50,22,0.07004929298341143
50,23,0.06991951033491368
50,24,0.07015703399367913
50,25,0.06977955871125248
60,9,0.08929729704007187
60,10,0.08417615706934388
60,11,0.07974581826485186
60,12,0.0764583383940291
60,13,0.07385109732451355
60,14,0.07204620268691722
60,15,0.07120950027988143
60,16,0.07037027765699409
60,17,0.07003399347277953
60,18,0.0699468972015244
60,19,0.06995320350075751
60,20,0.06966430887929606
60,21,0.06968321782771916
60,22,0.06981391378010719
60,23,0.06956565963430925
60,24,0.06984727124653799
60,25,0.06950016666266509
70,9,0.08923173447292328
70,10,0.08405042816307817
70,11,0.07971082892234792
70,12,0.07642248332238227
70,13,0.0737987843437833
70,14,0.07201354747059782
70,15,0.07118096453958521
70,16,0.07033919436976313
70,17,0.07006771624075693
70,18,0.06987418955963011
70,19,0.06984322711807224
70,20,0.06966560960284224
70,21,0.06957773756919228
70,22,0.06967540501489522
70,23,0.06950500974103253
70,24,0.0697592724654953
70,25,0.0694993213454038
80,9,0.08892266516429963
80,10,0.08368902825535908
80,11,0.07932935923651968
80,12,0.07602923065854243
80,13,0.07349159351556811
80,14,0.07169994899558278
80,15,0.07081802044922976
80,16,0.07001899027048888
80,17,0.06979068983790544
80,18,0.06955085085815046
80,19,0.06951723654210645
80,20,0.0693482737241078
80,21,0.06925660028643718
80,22,0.0694394944820007
80,23,0.06920380316653596
80,24,0.069440310624123
80,25,0.06914013394503155
90,9,0.08867688485140424
90,10,0.08343735820140985
90,11,0.07909749548111582
90,12,0.07576887947890885
90,13,0.07330707383759615
90,14,0.07151135456945028
90,15,0.07060693498358142
90,16,0.06977723184863881
90,17,0.06959344739155586
90,18,0.06935520749411521
90,19,0.06928594976828185
90,20,0.0691490441533039
90,21,0.0690808081127673
90,22,0.06918255854613771
90,23,0.06902118523982739
90,24,0.06922012909576994
90,25,0.06898992233753977
100,9,0.08870115969553866
100,10,0.08354342502116614
100,11,0.07913980377494506
100,12,0.07582628477920876
100,13,0.07340806727238106
100,14,0.07158013890338492
100,15,0.07063695492464324
100,16,0.06981527634756993
100,17,0.06962127458664857
100,18,0.06938587789405487
100,19,0.06930099768238557
100,20,0.0692473463077943
100,21,0.06912829666306404
100,22,0.06921117556413042
100,23,0.06902974575836139
100,24,0.06922636702494231
100,25,0.06904390276858184
