"starting_year", "linear", "svr", "rf", "dt", "lasso", "ridge", "knn"
"2001", , , 0.06382057269415248, 0.19968423296628823, 0.1497411161518973, 0.1318832930382517, 0.08385973657295386
"2003", , , 0.06412186570119326, 0.1975121050143394, 0.14676787670088498, 0.12962514452100296, 0.08483249289808435
"2005", , , 0.06174861752229979, 0.1931625078300055, 0.14652618417340701, 0.12526411745472202, 0.08462022373473316
"2007", , , 0.06060759405454138, 0.19106158646337154, 0.13048010091655374, 0.11793590677826042, 0.08569433535754273
"2009", , , 0.05830287402888194, 0.18246718653232696, 0.11917323621928917, 0.1132950395217617, 0.08220972524616553
"2011", , , 0.05598372564615795, 0.16547234421691326, 0.11395791325351753, 0.11005036841070638, 0.0795911926667653
"2013", , , 0.05659982076771671, 0.17223380839470992, 0.11617335877044578, 0.11231822728929786, 0.08643698357705457
"2015", , , 0.05683690781459914, 0.17249730941075123, 0.11853432864633495, 0.11448622555797655, 0.09055844607215169
"2017", , , 0.05681153869029018, 0.18675296296235072, 0.11861188020504124, 0.11499805639533156, 0.09980846440425699
"2019", , , 0.05651687771607546, 0.19036466221601955, 0.11839618391045034, 0.11357034250202716, 0.11668592441266169
"2021", , , 0.05480775029674431, 0.15917747237077906, 0.10627708661506173, 0.10345477845142208, 0.1511167602688897











